epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
73,30.4913,0.48659,0.81579,0.98947,0.55371,0.0005248,0.0005248,0.0005248
74,30.889,0.46094,0.82105,0.98947,0.54321,0.0005182,0.0005182,0.0005182
75,31.2869,0.48636,0.84211,0.98947,0.54224,0.0005116,0.0005116,0.0005116
76,31.6751,0.50138,0.81579,0.98947,0.5874,0.000505,0.000505,0.000505
77,32.0505,0.49294,0.84737,0.99474,0.58752,0.0004984,0.0004984,0.0004984
78,32.4611,0.51239,0.84737,0.99474,0.53809,0.0004918,0.0004918,0.0004918
79,32.8341,0.50702,0.83158,0.99474,0.55615,0.0004852,0.0004852,0.0004852
80,33.2198,0.55238,0.84211,1,0.52637,0.0004786,0.0004786,0.0004786
81,33.617,0.54346,0.82105,0.99474,0.5343,0.000472,0.000472,0.000472
82,33.997,0.52568,0.82105,0.99474,0.61011,0.0004654,0.0004654,0.0004654
83,34.3748,0.56222,0.82632,0.98947,0.61487,0.0004588,0.0004588,0.0004588
84,34.7573,0.50437,0.82105,1,0.62842,0.0004522,0.0004522,0.0004522
85,35.1432,0.53921,0.83158,0.98947,0.55322,0.0004456,0.0004456,0.0004456
86,35.52,0.52911,0.83684,0.99474,0.52283,0.000439,0.000439,0.000439
87,35.9146,0.51806,0.85789,0.98947,0.58081,0.0004324,0.0004324,0.0004324
88,36.3157,0.51597,0.84211,0.98947,0.61768,0.0004258,0.0004258,0.0004258
89,36.7093,0.45451,0.82632,0.98947,0.5321,0.0004192,0.0004192,0.0004192
90,37.1056,0.46884,0.83684,0.98947,0.5564,0.0004126,0.0004126,0.0004126
91,37.6003,0.52274,0.83684,0.98947,0.59155,0.000406,0.000406,0.000406
92,37.9803,0.52608,0.82105,0.99474,0.60498,0.0003994,0.0003994,0.0003994
93,38.3663,0.49681,0.83684,0.98947,0.59204,0.0003928,0.0003928,0.0003928
